"@timestamp",message,"tote_id","location_id"
"May 10, 2023 @ 08:48:02.095","Tote 880000485167 arrived at autoshuttle divert: Divert_SPS10_HighwayFeeder",880000485167,"Divert_SPS10_HighwayFeeder"
"May 10, 2023 @ 08:48:01.761","Tote 880000481417 arrived at interchange point: Divert_ToteLoop_Recirc2",880000481417,"Divert_ToteLoop_Recirc2"
"May 10, 2023 @ 08:48:01.486","Tote 770000551063 arrived at autoshuttle divert: Divert_SPS02_HighwayFeeder",770000551063,"Divert_SPS02_HighwayFeeder"
"May 10, 2023 @ 08:48:01.248","Tote ???????????? arrived at autoshuttle divert: Divert_SPS08_HighwayFeeder","????????????","Divert_SPS08_HighwayFeeder"
"May 10, 2023 @ 08:48:01.094","Tote 880000406248 arrived at discharge point: Divert_ToteLoop_Discharge1",880000406248,"Divert_ToteLoop_Discharge1"
"May 10, 2023 @ 08:48:00.976","Tote ???????????? arrived at autoshuttle divert: Divert_SPS09_HighwayFeeder","????????????","Divert_SPS09_HighwayFeeder"
"May 10, 2023 @ 08:48:00.010","Tote 880000417598 arrived at interchange point: Divert_ToteLoop_Recirc3",880000417598,"Divert_ToteLoop_Recirc3"
"May 10, 2023 @ 08:47:59.889","Tote 770000209267 arrived at autoshuttle divert: Divert_SPS10_HighwayFeeder",770000209267,"Divert_SPS10_HighwayFeeder"
"May 10, 2023 @ 08:47:59.827","Tote 880000482987 arrived at interchange point: Divert_ToteLoop_Recirc6",880000482987,"Divert_ToteLoop_Recirc6"
"May 10, 2023 @ 08:47:59.545","Tote 770000548504 arrived at interchange point: Divert_ToteLoop_Recirc4",770000548504,"Divert_ToteLoop_Recirc4"
"May 10, 2023 @ 08:47:59.535","Tote 880000471277 arrived at autoshuttle divert: Divert_SPS02_HighwayFeeder",880000471277,"Divert_SPS02_HighwayFeeder"
"May 10, 2023 @ 08:47:58.855","Tote 880000427077 arrived at autoshuttle divert: Divert_SPS09_HighwayFeeder",880000427077,"Divert_SPS09_HighwayFeeder"
"May 10, 2023 @ 08:47:58.843","Tote 880000488207 arrived at discharge point: Divert_ToteLoop_Discharge1",880000488207,"Divert_ToteLoop_Discharge1"
"May 10, 2023 @ 08:47:58.121","Tote 880000491272 arrived at interchange point: Divert_ToteLoop_Recirc3",880000491272,"Divert_ToteLoop_Recirc3"
"May 10, 2023 @ 08:47:57.664","Tote ???????????? arrived at autoshuttle divert: Divert_SPS10_HighwayFeeder","????????????","Divert_SPS10_HighwayFeeder"
