"@timestamp",message
"Nov 10, 2022 @ 12:47:09.917","Divert decision (False) for 31257975 @ Divert_ToteLoop_Recirc2"
"Nov 10, 2022 @ 12:47:09.917","Divert decision (False) for 31257975 @ Divert_ToteLoop_Recirc2"
"Nov 10, 2022 @ 12:46:45.552","Divert decision (False) for 31257975 @ Divert_SPS03_HighwayFeeder"
"Nov 10, 2022 @ 12:46:17.206","Divert decision (False) for 31257975 @ Divert_SPS07_HighwayFeeder"
"Nov 10, 2022 @ 12:45:16.646","Divert decision (False) for 31257975 @ Divert_ToteLoop_Jackpot"
"Nov 10, 2022 @ 12:45:16.644","Divert decision (False) for 31257975 @ Divert_ToteLoop_Jackpot"
"Nov 10, 2022 @ 12:45:07.037","Divert decision (False) for 31257975 @ Divert_ToteLoop_Discharge2"
"Nov 10, 2022 @ 12:45:07.036","Divert decision (False) for 31257975 @ Divert_ToteLoop_Discharge2"
"Nov 10, 2022 @ 12:44:55.780","Divert decision (True) for 31257975 @ Divert_ToteLoop_Recirc2"
"Nov 10, 2022 @ 12:44:55.780","Divert decision (True) for 31257975 @ Divert_ToteLoop_Recirc2"
"Nov 10, 2022 @ 12:44:27.728","Divert decision (False) for 31257975 @ Divert_SPS03_HighwayFeeder"
"Nov 10, 2022 @ 12:43:59.260","Divert decision (False) for 31257975 @ Divert_SPS07_HighwayFeeder"
"Nov 10, 2022 @ 12:42:58.335","Divert decision (False) for 31257975 @ Divert_ToteLoop_Jackpot"
"Nov 10, 2022 @ 12:42:58.335","Divert decision (False) for 31257975 @ Divert_ToteLoop_Jackpot"
"Nov 10, 2022 @ 12:42:48.777","Divert decision (False) for 31257975 @ Divert_ToteLoop_Discharge2"
"Nov 10, 2022 @ 12:42:48.775","Divert decision (False) for 31257975 @ Divert_ToteLoop_Discharge2"
"Nov 10, 2022 @ 12:42:16.713","Divert decision (False) for 31257975 @ Divert_ToteLoop_Discharge1"
"Nov 10, 2022 @ 12:42:16.712","Divert decision (False) for 31257975 @ Divert_ToteLoop_Discharge1"
"Nov 10, 2022 @ 12:41:27.796","Divert decision (False) for 31257975 @ Divert_SPS02_HighwayFeeder"
"Nov 10, 2022 @ 12:41:23.976","Divert decision (False) for 31257975 @ Divert_ToteLoop_Recirc1"
"Nov 10, 2022 @ 12:41:23.976","Divert decision (False) for 31257975 @ Divert_ToteLoop_Recirc1"
"Nov 10, 2022 @ 12:38:42.334","Divert decision (False) for 31257975 @ Divert_SPS08_HighwayFeeder"
"Nov 10, 2022 @ 12:38:28.373","Divert decision (False) for 31257975 @ Divert_SPS06_HighwayFeeder"
"Nov 10, 2022 @ 12:38:13.049","Divert decision (False) for 31257975 @ Divert_SPS04_HighwayFeeder"
"Nov 10, 2022 @ 12:37:56.801","Divert decision (True) for 31257975 @ Divert_ToteLoop_Recirc1"
"Nov 10, 2022 @ 12:37:56.800","Divert decision (True) for 31257975 @ Divert_ToteLoop_Recirc1"
"Nov 10, 2022 @ 12:35:01.257","Divert decision (False) for 31257975 @ Divert_SPS08_HighwayFeeder"
"Nov 10, 2022 @ 12:34:47.262","Divert decision (False) for 31257975 @ Divert_SPS06_HighwayFeeder"
"Nov 10, 2022 @ 12:34:28.820","Divert decision (False) for 31257975 @ Divert_SPS04_HighwayFeeder"
"Nov 10, 2022 @ 12:34:12.637","Divert decision (True) for 31257975 @ Divert_ToteLoop_Recirc1"
"Nov 10, 2022 @ 12:34:12.636","Divert decision (True) for 31257975 @ Divert_ToteLoop_Recirc1"
